domain,problem,config,rep,solved,cost,wall,search_time
parking-opt14-strips,p_20_11-02.pddl,policy,1,0,,1799.633,
parking-opt14-strips,p_20_11-03.pddl,stock,1,0,,1799.956,
parking-opt14-strips,p_20_11-03.pddl,policy,1,0,,1800.249,
parking-opt14-strips,p_20_11-04.pddl,stock,1,0,,1800.089,
parking-opt14-strips,p_20_11-04.pddl,policy,1,0,,1800.361,
tpp,p01.pddl,stock,1,1,5,0.519,0.000578274
tpp,p01.pddl,policy,1,1,5,0.468,0.000726038
tpp,p02.pddl,stock,1,1,8,0.470,0.00100039
tpp,p02.pddl,policy,1,1,8,0.468,0.00106944
tpp,p03.pddl,stock,1,1,11,0.569,0.00143132
tpp,p03.pddl,policy,1,1,11,0.570,0.00170238
tpp,p04.pddl,stock,1,1,14,0.519,0.00258269
tpp,p04.pddl,policy,1,1,14,0.523,0.00300023
tpp,p05.pddl,stock,1,1,19,0.670,0.0178085
tpp,p05.pddl,policy,1,1,19,0.669,0.0152832
tpp,p06.pddl,stock,1,1,25,0.719,0.150603
tpp,p06.pddl,policy,1,1,25,0.871,0.194
tpp,p07.pddl,stock,1,1,34,1.234,0.597425
tpp,p07.pddl,policy,1,1,34,1.128,0.428367
tpp,p08.pddl,stock,1,1,40,2.128,1.40368
tpp,p08.pddl,policy,1,1,40,1.324,0.661922
tpp,p09.pddl,stock,1,0,,1799.581,
tpp,p09.pddl,policy,1,1,48,1130.670,1129.34
tpp,p10.pddl,stock,1,0,,1799.334,
tpp,p10.pddl,policy,1,0,,1799.544,
tpp,p11.pddl,stock,1,0,,1799.449,
tpp,p11.pddl,policy,1,0,,1799.551,
tpp,p12.pddl,stock,1,0,,1799.549,
tpp,p12.pddl,policy,1,0,,1799.720,
tpp,p13.pddl,stock,1,0,,1799.845,
tpp,p13.pddl,policy,1,0,,1799.888,
tpp,p14.pddl,stock,1,0,,1799.966,
tpp,p14.pddl,policy,1,0,,1800.012,
tpp,p15.pddl,stock,1,0,,1800.017,
tpp,p15.pddl,policy,1,0,,1800.164,
tpp,p16.pddl,stock,1,0,,1799.912,
tpp,p16.pddl,policy,1,0,,1799.431,
tpp,p17.pddl,stock,1,0,,1800.064,
tpp,p17.pddl,policy,1,0,,1799.980,
tpp,p18.pddl,stock,1,0,,1800.460,
tpp,p18.pddl,policy,1,0,,1800.081,
tpp,p19.pddl,stock,1,0,,1732.618,
tpp,p19.pddl,policy,1,0,,1800.542,
tpp,p20.pddl,stock,1,0,,1800.032,
tpp,p20.pddl,policy,1,0,,1800.024,
tpp,p21.pddl,stock,1,0,,1800.295,
tpp,p21.pddl,policy,1,0,,1730.324,
tpp,p22.pddl,stock,1,0,,1233.819,
tpp,p22.pddl,policy,1,0,,1543.025,
tpp,p23.pddl,stock,1,0,,1800.396,
tpp,p23.pddl,policy,1,0,,1800.054,
